gene_id	baseMean	log2FoldChange	padj
ENSG00000000001	100	-3.000000	0.0001
ENSG00000000002	137	-1.299999	0.0290
ENSG00000000003	174	0.400001	0.0580
ENSG00000000004	211	2.100002	0.0870
ENSG00000000005	248	-2.299998	0.0190
ENSG00000000006	285	-0.599998	0.0480
ENSG00000000007	322	1.100003	0.0770
ENSG00000000008	359	2.800000	0.0090
ENSG00000000009	396	-1.599999	0.0380
ENSG00000000010	433	0.100001	0.0670
ENSG00000000011	470	1.800002	0.0960
ENSG00000000012	507	-2.599998	0.0280
ENSG00000000013	544	-0.899998	0.0570
ENSG00000000014	581	0.800003	0.0860
ENSG00000000015	618	2.500000	0.0180
ENSG00000000016	655	-1.899999	0.0470
ENSG00000000017	692	-0.199999	0.0760
ENSG00000000018	729	1.500002	0.0080
ENSG00000000019	766	-2.899998	0.0370
ENSG00000000020	803	-1.199998	0.0660
ENSG00000000021	840	0.500003	0.0950
ENSG00000000022	877	2.200000	0.0270
ENSG00000000023	914	-2.199999	0.0560
ENSG00000000024	951	-0.499999	0.0850
ENSG00000000025	988	1.200002	0.0170
ENSG00000000026	1025	2.900002	0.0460
ENSG00000000027	1062	-1.499998	0.0750
ENSG00000000028	1099	0.200003	0.0070
ENSG00000000029	1136	1.900000	0.0360
ENSG00000000030	1173	-2.499999	0.0650
ENSG00000000031	1210	-0.799999	0.0940
ENSG00000000032	1247	0.900002	0.0260
ENSG00000000033	1284	2.600002	0.0550
ENSG00000000034	1321	-1.799998	0.0840
ENSG00000000035	1358	-0.099997	0.0160
ENSG00000000036	1395	1.600000	0.0450
ENSG00000000037	1432	-2.799999	0.0740
ENSG00000000038	1469	-1.099999	0.0060
ENSG00000000039	1506	0.600002	0.0350
ENSG00000000040	1543	2.300002	0.0640
ENSG00000000041	1580	-2.099998	0.0930
ENSG00000000042	1617	-0.399997	0.0250
ENSG00000000043	1654	1.300000	0.0540
ENSG00000000044	1691	3.000001	0.0830
ENSG00000000045	1728	-1.399999	0.0150
ENSG00000000046	1765	0.300002	0.0440
ENSG00000000047	1802	2.000002	0.0730
ENSG00000000048	1839	-2.399998	0.0050
ENSG00000000049	1876	-0.699997	0.0340
ENSG00000000050	1913	1.000000	0.0630
ENSG00000000051	1950	2.700001	0.0920
ENSG00000000052	1987	-1.699999	0.0240
ENSG00000000053	2024	0.000002	0.0530
ENSG00000000054	2061	1.700002	0.0820
ENSG00000000055	2098	-2.699998	0.0140
ENSG00000000056	2135	-0.999997	0.0430
ENSG00000000057	2172	0.700000	0.0720
ENSG00000000058	2209	2.400001	0.0040
ENSG00000000059	2246	-1.999999	0.0330
ENSG00000000060	2283	-0.299998	0.0620
ENSG00000000061	2320	1.400002	0.0910
ENSG00000000062	2357	-2.999998	0.0230
ENSG00000000063	2394	-1.299997	0.0520
ENSG00000000064	2431	0.400000	0.0810
ENSG00000000065	2468	2.100001	0.0130
ENSG00000000066	2505	-2.299999	0.0420
ENSG00000000067	2542	-0.599998	0.0710
ENSG00000000068	2579	1.100002	0.0030
ENSG00000000069	2616	2.800002	0.0320
ENSG00000000070	2653	-1.599997	0.0610
ENSG00000000071	2690	0.100000	0.0900
ENSG00000000072	2727	1.800001	0.0220
ENSG00000000073	2764	-2.599999	0.0510
ENSG00000000074	2801	-0.899998	0.0800
ENSG00000000075	2838	0.800002	0.0120
ENSG00000000076	2875	2.500002	0.0410
ENSG00000000077	2912	-1.899997	0.0700
ENSG00000000078	2949	-0.200000	0.0020
ENSG00000000079	2986	1.500001	0.0310
ENSG00000000080	3023	-2.899999	0.0600
ENSG00000000081	3060	-1.199998	0.0890
ENSG00000000082	3097	0.500002	0.0210
ENSG00000000083	3134	2.200002	0.0500
ENSG00000000084	3171	-2.199997	0.0790
ENSG00000000085	3208	-0.500000	0.0110
ENSG00000000086	3245	1.200001	0.0400
ENSG00000000087	3282	2.900001	0.0690
ENSG00000000088	3319	-1.499998	0.0010
ENSG00000000089	3356	0.200002	0.0300
ENSG00000000090	3393	1.900002	0.0590
ENSG00000000091	3430	-2.499997	0.0880
ENSG00000000092	3467	-0.800000	0.0200
ENSG00000000093	3504	0.900001	0.0490
ENSG00000000094	3541	2.600001	0.0780
ENSG00000000095	3578	-1.799998	0.0100
ENSG00000000096	3615	-0.099998	0.0390
ENSG00000000097	3652	1.600002	0.0680
ENSG00000000098	3689	-2.799997	0.0001
ENSG00000000099	3726	-1.100000	0.0290
ENSG00000000100	3763	0.600001	0.0580
ENSG00000000101	3800	2.300001	0.0870
ENSG00000000102	3837	-2.099998	0.0190
ENSG00000000103	3874	-0.399998	0.0480
ENSG00000000104	3911	1.300002	0.0770
ENSG00000000105	3948	3.000003	0.0090
ENSG00000000106	3985	-1.400000	0.0380
ENSG00000000107	4022	0.300001	0.0670
ENSG00000000108	4059	2.000001	0.0960
ENSG00000000109	4096	-2.399998	0.0280
ENSG00000000110	4133	-0.699998	0.0570
ENSG00000000111	4170	1.000002	0.0860
ENSG00000000112	4207	2.700003	0.0180
ENSG00000000113	4244	-1.700000	0.0470
ENSG00000000114	4281	0.000001	0.0760
ENSG00000000115	4318	1.700001	0.0080
ENSG00000000116	4355	-2.699998	0.0370
ENSG00000000117	4392	-0.999998	0.0660
ENSG00000000118	4429	0.700002	0.0950
ENSG00000000119	4466	2.400003	0.0270
ENSG00000000120	4503	-2.000000	0.0560
