gene_id	baseMean	log2FoldChange	padj
ENSG00000000001	100	-3.0000	0.0001
ENSG00000000002	137	-1.3000	0.0290
ENSG00000000003	174	0.4000	0.0580
ENSG00000000004	211	2.1000	0.0870
ENSG00000000005	248	-2.3000	0.0190
ENSG00000000006	285	-0.6000	0.0480
ENSG00000000007	322	1.1000	0.0770
ENSG00000000008	359	2.8000	0.0090
ENSG00000000009	396	-1.6000	0.0380
ENSG00000000010	433	0.1000	0.0670
ENSG00000000011	470	1.8000	0.0960
ENSG00000000012	507	-2.6000	0.0280
ENSG00000000013	544	-0.9000	0.0570
ENSG00000000014	581	0.8000	0.0860
ENSG00000000015	618	2.5000	0.0180
ENSG00000000016	655	-1.9000	0.0470
ENSG00000000017	692	-0.2000	0.0760
ENSG00000000018	729	1.5000	0.0080
ENSG00000000019	766	-2.9000	0.0370
ENSG00000000020	803	-1.2000	0.0660
ENSG00000000021	840	0.5000	0.0950
ENSG00000000022	877	2.2000	0.0270
ENSG00000000023	914	-2.2000	0.0560
ENSG00000000024	951	-0.5000	0.0850
ENSG00000000025	988	1.2000	0.0170
ENSG00000000026	1025	2.9000	0.0460
ENSG00000000027	1062	-1.5000	0.0750
ENSG00000000028	1099	0.2000	0.0070
ENSG00000000029	1136	1.9000	0.0360
ENSG00000000030	1173	-2.5000	0.0650
ENSG00000000031	1210	-0.8000	0.0940
ENSG00000000032	1247	0.9000	0.0260
ENSG00000000033	1284	2.6000	0.0550
ENSG00000000034	1321	-1.8000	0.0840
ENSG00000000035	1358	-0.1000	0.0160
ENSG00000000036	1395	1.6000	0.0450
ENSG00000000037	1432	-2.8000	0.0740
ENSG00000000038	1469	-1.1000	0.0060
ENSG00000000039	1506	0.6000	0.0350
ENSG00000000040	1543	2.3000	0.0640
